Processors,Command,Parallel Time (s),Speedup,Efficiency
2,mpirun -np 2 -hostfile ./../../../build/hostfile ./../../../build/fractal_mpi -i 512 -s 16 --output_disabled -w 1920 -h 1920 -b 32,47.305599235398404,0.9886960076028544,0.4943480038014272
4,mpirun -np 4 -hostfile ./../../../build/hostfile ./../../../build/fractal_mpi -i 512 -s 16 --output_disabled -w 1920 -h 1920 -b 32,16.504871795298822,2.833760702983531,0.7084401757458828
8,mpirun -np 8 -hostfile ./../../../build/hostfile ./../../../build/fractal_mpi -i 512 -s 16 --output_disabled -w 1920 -h 1920 -b 32,7.526775008499681,6.213930541099291,0.7767413176374114
16,mpirun -np 16 -hostfile ./../../../build/hostfile ./../../../build/fractal_mpi -i 512 -s 16 --output_disabled -w 1920 -h 1920 -b 32,4.170737075699435,11.214050718710324,0.7008781699193952
32,mpirun -np 32 -hostfile ./../../../build/hostfile ./../../../build/fractal_mpi -i 512 -s 16 --output_disabled -w 1920 -h 1920 -b 32,2.3062210644988226,20.280300887574743,0.6337594027367107
