Processors,Command,Parallel Time (s),Speedup,Efficiency
2,mpirun -np 2 -hostfile ./../../../build/hostfile ./../../../build/fractal_mpi -i 512 -s 16 --output_disabled -w 512 -h 512 -b 32,3.9581893705995754,0.8426945049363158,0.4213472524681579
4,mpirun -np 4 -hostfile ./../../../build/hostfile ./../../../build/fractal_mpi -i 512 -s 16 --output_disabled -w 512 -h 512 -b 32,1.7493209765016218,1.9067652402889392,0.4766913100722348
8,mpirun -np 8 -hostfile ./../../../build/hostfile ./../../../build/fractal_mpi -i 512 -s 16 --output_disabled -w 512 -h 512 -b 32,1.1539617688031285,2.8905155459016396,0.36131444323770495
16,mpirun -np 16 -hostfile ./../../../build/hostfile ./../../../build/fractal_mpi -i 512 -s 16 --output_disabled -w 512 -h 512 -b 32,0.9414609460014617,3.54294508579267,0.22143406786204187
32,mpirun -np 32 -hostfile ./../../../build/hostfile ./../../../build/fractal_mpi -i 512 -s 16 --output_disabled -w 512 -h 512 -b 32,0.800386774299841,4.167415728501324,0.13023174151566638
